Domain,IP,ASN,Company,Flag,Added,Details,Service Ticket,Reported to ICANN
yopmail.com,,,,Yes,2020-08-05 09:06:00.000,,,
yopmail.net,,,,Yes,2020-08-05 09:06:00.000,,,
you-spam.com,,,,Yes,2020-08-05 09:06:00.000,,,
yuoia.com,,,,Yes,2020-08-05 09:06:00.000,,,
zik2zik.com,,,,Yes,2020-10-26 07:38:00.000,,,
zkeiw.com,,,,Yes,2020-08-05 09:06:00.000,,,
zoho.com,,,,Yes,2020-08-05 09:06:00.000,,,
zyyberrys.com,,,,Yes,2020-08-05 09:06:00.000,,,
gdcreative.com,,,,No,2021-03-16 11:48:00.000,,,
xmlrhands.com,,,,No,2021-04-20 13:47:00.000,,,
peralta.edu,,,,No,2021-05-17 10:10:00.000,,,
san.rr.com,,,,No,2021-05-17 10:10:00.000,,,
dec123.com,,,,No,2021-05-17 10:10:00.000,,,
haighthouse.com,,,,No,2021-05-17 10:10:00.000,,,
shawnebell.com,,,,No,2021-05-23 15:01:00.000,,,
givmail.com,,,,No,2021-05-29 01:10:00.000,,,
uci.edu,,,,No,2021-06-02 13:12:00.000,,,
swccd.edu,,,,No,2021-06-17 06:36:00.000,,,
mail.tdc.edu.vn,,,,No,2021-06-20 14:26:00.000,,,
csub.edu,,,,No,2021-06-21 10:19:00.000,,,
my.smccd.edu,,,,No,2021-07-12 21:14:00.000,,,
calbrightcollege.org,,,,No,2021-07-16 11:46:00.000,,,
flipssl.com,,,,No,2021-08-03 05:12:00.000,,,
usc.edu,,,,No,2021-08-17 18:43:00.000,,,
earthlink.net,,,,No,2021-08-29 11:09:00.000,,,
tulanealumni.net,,,,No,2021-09-04 19:06:00.000,,,
bbmedicalsurgical.com,,,,No,2021-09-04 20:54:00.000,,,
sldigitalgoods.com,,,,No,2021-09-06 05:18:00.000,,,
verizon.net,,,,No,2021-09-25 11:35:00.000,,,
dji.com,,,,No,2021-10-01 09:17:00.000,,,
ucsc.edu,,,,No,2021-10-03 13:35:00.000,,,
veteran.me,,,,No,2021-10-05 13:20:00.000,,,
oemmeo.com,,,,No,2021-10-06 07:30:00.000,,,
mamao.com,,,,No,2021-10-06 11:10:00.000,,,
dineseaside.com,,,,No,2021-10-06 13:32:00.000,,,
mail.ccsf.edu,,,,No,2021-10-06 15:30:00.000,,,
h1ghway.com,,,,No,2021-10-08 14:35:00.000,,,
juno.com,,,,No,2021-10-09 20:17:00.000,,,
universalchangemakersl3c.community,,,,No,2021-10-13 17:57:00.000,,,
charter.net,,,,No,2021-10-20 13:44:00.000,,,
quickssi.com,,,,No,2021-10-22 16:24:00.000,,,
sentiero.org,,,,No,2021-10-26 12:15:00.000,,,
asymbot.com,,,,No,2021-11-01 17:36:00.000,,,
cox.net,,,,No,2021-11-01 22:13:00.000,,,
fiu.edu,,,,No,2021-11-02 09:53:00.000,,,
sunburst.school,,,,No,2021-11-03 11:33:00.000,,,
gcccd.edu,,,,No,2021-11-04 09:30:00.000,,,
avc.edu,,,,No,2021-11-04 16:33:00.000,,,
icloud.net,,,,No,2021-11-05 19:40:00.000,,,
csu.fullerton.edu,,,,No,2021-11-05 20:03:00.000,,,
edd.ca.gov,,,,No,2021-11-05 21:59:00.000,,,
student.butte.edu,,,,No,2021-11-10 07:40:00.000,,,
snhu.edu,,,,No,2021-11-10 23:51:00.000,,,
aoffs.com,,,,No,2021-11-12 13:37:00.000,,,
mtvstaff.net,,,,No,2021-11-14 16:51:00.000,,,
yahoo.com.hk,,,,No,2021-11-15 23:31:00.000,,,
hotmail.es,,,,No,2021-11-16 20:39:00.000,,,
thornenterprise.com,,,,No,2021-11-25 20:44:00.000,,,
berkeley.edu,,,,No,2021-11-28 10:24:00.000,,,
zoey.us,,,,No,2021-12-03 21:33:00.000,,,
csumb.edu,,,,No,2021-12-12 22:21:00.000,,,
gmail.net,,,,No,2021-12-18 23:38:00.000,,,
privcryption.com,,,,No,2021-12-19 15:46:00.000,,,
benjow.com,,,,No,2021-12-23 15:34:00.000,,,
puc.edu,,,,No,2022-01-04 16:17:00.000,,,
my.csun.edu,,,,No,2022-01-10 20:24:00.000,,,
scottnet.co,,,,No,2022-01-13 13:54:00.000,,,
lanefurniture.com,,,,No,2022-01-14 09:25:00.000,,,
